county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.4,2.3,49.76,Low,2022-04-21,1650524400
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.4,2.3,31.21,Low,2022-04-21,1650524400
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,0.7,0.9,17.98,Low,2022-04-21,1650524400
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.4,1.5,23.21,Low,2022-04-21,1650524400
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.4,1.5,35.59,Low,2022-04-21,1650524400
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,0.4,1.5,82.50,Low,2022-04-21,1650524400
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.3,2.0,124.53,Low,2022-04-21,1650524400
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.3,2.0,78.22,Low,2022-04-21,1650524400
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.0,2.9,133.11,Low,2022-04-21,1650524400
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.0,2.9,61.15,Low,2022-04-21,1650524400
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.4,1.2,136.74,Low,2022-04-21,1650524400
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.4,1.2,42.22,Low,2022-04-21,1650524400
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,0.9,1.5,59.34,Low,2022-04-21,1650524400
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,0.9,1.5,106.83,Low,2022-04-21,1650524400
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,1.5,0.7,48.69,Low,2022-04-21,1650524400
Ventura County,06111,California,846006,790,"Ventura, CA",846006,0.9,1.5,69.15,Low,2022-04-21,1650524400
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.6,3.6,192.05,Low,2022-04-21,1650524400
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.6,3.6,235.72,Medium,2022-04-21,1650524400
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.8,2.8,153.23,Low,2022-04-21,1650524400
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.8,2.8,87.30,Low,2022-04-21,1650524400
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.8,1.8,181.00,Low,2022-04-21,1650524400
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,1.8,1.8,96.49,Low,2022-04-21,1650524400
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,2.1,3.5,126.80,Low,2022-04-21,1650524400
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,1.9,2.5,145.92,Low,2022-04-21,1650524400
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,1.9,2.5,40.38,Low,2022-04-21,1650524400
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,1.9,2.5,13.40,Low,2022-04-21,1650524400
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,1.1,2.8,16.08,Low,2022-04-21,1650524400
Tulare County,06107,California,466195,789,"Tulare, CA",466195,2.8,1.5,179.11,Low,2022-04-21,1650524400
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,1.6,33.31,Low,2022-04-21,1650524400
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,1.6,14.09,Low,2022-04-21,1650524400
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,1.6,38.41,Low,2022-04-21,1650524400
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.6,4.4,98.87,Low,2022-04-21,1650524400
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.6,4.4,36.30,Low,2022-04-21,1650524400
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.6,4.4,28.37,Low,2022-04-21,1650524400
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.6,4.4,147.67,Low,2022-04-21,1650524400
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,0.9,4.5,22.62,Low,2022-04-21,1650524400
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,0.9,4.5,11.66,Low,2022-04-21,1650524400
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,0.9,4.5,8.14,Low,2022-04-21,1650524400
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,2.5,3.7,154.16,Low,2022-04-21,1650524400
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,2.5,3.7,175.39,Low,2022-04-21,1650524400
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.9,65.35,Low,2022-04-21,1650524400
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.9,28.47,Low,2022-04-21,1650524400
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.9,12.58,Low,2022-04-21,1650524400
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.2,17.89,Low,2022-04-14,1649919600
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,1.2,1.2,42.34,Low,2022-04-14,1649919600
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,2.1,3.0,6.64,Low,2022-04-14,1649919600
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,16.63,Low,2022-04-14,1649919600
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.3,3.1,0.00,Low,2022-04-14,1649919600
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.0,0.0,9.81,Low,2022-04-14,1649919600
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.0,0.0,196.74,Low,2022-04-14,1649919600
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,1.7,4.3,7.19,Low,2022-04-14,1649919600
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,3.8,17.08,Low,2022-04-14,1649919600
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,3.8,21.67,Low,2022-04-14,1649919600
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,2.6,3.8,24.68,Low,2022-04-14,1649919600
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.3,17.32,Low,2022-04-14,1649919600
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.3,2.52,Low,2022-04-14,1649919600
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,1.8,3.3,4.36,Low,2022-04-14,1649919600
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,2.3,2.9,2.00,Low,2022-04-14,1649919600
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,2.3,2.9,0.00,Low,2022-04-14,1649919600
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.0,6.74,Low,2022-04-14,1649919600
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.0,11.05,Low,2022-04-14,1649919600
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.0,35.95,Low,2022-04-14,1649919600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.4,3.0,87.98,Low,2022-04-14,1649919600
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,0.8,2.5,32.56,Low,2022-04-14,1649919600
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,0.8,2.5,22.62,Low,2022-04-14,1649919600
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,0.8,2.5,11.66,Low,2022-04-14,1649919600
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,3.5,4.0,14.81,Low,2022-04-14,1649919600
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,3.5,4.0,18.31,Low,2022-04-14,1649919600
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,3.5,4.0,4.45,Low,2022-04-14,1649919600
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,0.9,1.2,18.37,Low,2022-04-14,1649919600
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,0.9,1.2,27.77,Low,2022-04-14,1649919600
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.6,2.2,24.20,Low,2022-04-14,1649919600
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.6,2.2,15.49,Low,2022-04-14,1649919600
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,2.0,2.1,0.00,Low,2022-04-14,1649919600
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,2.0,2.1,26.33,Low,2022-04-14,1649919600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,9.28,Low,2022-04-14,1649919600
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,11.44,Low,2022-04-14,1649919600
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,1.1,4.1,10.31,Low,2022-04-14,1649919600
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,1.0,2.3,0.00,Low,2022-04-14,1649919600
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,1.5,5.1,4.59,Low,2022-04-14,1649919600
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,2.2,0.7,65.15,Low,2022-04-14,1649919600
Kern County,06029,California,900202,807,"Kern, CA",900202,2.5,2.7,10.33,Low,2022-04-14,1649919600
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,3.1,14.33,Low,2022-04-14,1649919600
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,3.1,35.64,Low,2022-04-14,1649919600
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,2.4,3.1,19.35,Low,2022-04-14,1649919600
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,0.3,2.3,14.99,Low,2022-04-14,1649919600
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,2.6,15.51,Low,2022-04-14,1649919600
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,2.6,7.04,Low,2022-04-14,1649919600
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.3,2.6,15.36,Low,2022-04-14,1649919600
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.4,11.63,Low,2022-04-14,1649919600
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.4,12.96,Low,2022-04-14,1649919600
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.4,0.00,Low,2022-04-14,1649919600
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.6,2.4,20.19,Low,2022-04-14,1649919600
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.3,2.5,61.70,Low,2022-04-14,1649919600
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.3,2.5,48.44,Low,2022-04-14,1649919600
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,1.4,2.8,31.68,Low,2022-04-14,1649919600
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,1.4,2.8,48.35,Low,2022-04-14,1649919600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.9,2.6,30.28,Low,2022-04-14,1649919600
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.9,2.6,26.35,Low,2022-04-14,1649919600
Ventura County,06111,California,846006,790,"Ventura, CA",846006,1.7,2.4,19.39,Low,2022-04-14,1649919600
Tulare County,06107,California,466195,789,"Tulare, CA",466195,2.1,1.5,96.96,Low,2022-04-14,1649919600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.9,4.0,52.15,Low,2022-04-07,1649314800
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.9,4.0,22.30,Low,2022-04-07,1649314800
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.9,4.0,27.62,Low,2022-04-07,1649314800
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,2.9,4.0,36.92,Low,2022-04-07,1649314800
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,1.4,5.5,67.87,Low,2022-04-07,1649314800
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,1.4,5.5,7.22,Low,2022-04-07,1649314800
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,1.4,5.5,0.00,Low,2022-04-07,1649314800
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,4.3,3.5,33.05,Low,2022-04-07,1649314800
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,4.3,3.5,116.70,Low,2022-04-07,1649314800
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,4.3,3.5,51.00,Low,2022-04-07,1649314800
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.2,3.3,15.25,Low,2022-04-07,1649314800
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.2,3.3,24.80,Low,2022-04-07,1649314800
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,2.2,3.3,17.61,Low,2022-04-07,1649314800
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,1.5,2.9,0.00,Low,2022-04-07,1649314800
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,1.5,2.9,24.06,Low,2022-04-07,1649314800
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,1.4,3.3,66.84,Low,2022-04-07,1649314800
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,1.4,3.3,61.50,Low,2022-04-07,1649314800
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,0.8,4.6,29.97,Low,2022-04-07,1649314800
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,1.8,1.6,26.92,Low,2022-04-07,1649314800
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,1.8,1.6,21.13,Low,2022-04-07,1649314800
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,1.8,1.6,4.61,Low,2022-04-07,1649314800
Los Angeles County,06037,California,10039107,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.7,2.2,55.46,Low,2022-04-07,1649314800
Orange County,06059,California,3175692,723,"Los Angeles (Los Angeles), CA - Orange, CA",13214799,1.7,2.2,24.75,Low,2022-04-07,1649314800
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.9,3.2,23.25,Low,2022-04-07,1649314800
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.9,3.2,33.85,Low,2022-04-07,1649314800
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.9,3.2,0.00,Low,2022-04-07,1649314800
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,1.9,3.2,9.18,Low,2022-04-07,1649314800
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,3.6,4.2,45.74,Low,2022-04-07,1649314800
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,3.6,4.2,12.43,Low,2022-04-07,1649314800
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,3.6,4.2,32.17,Low,2022-04-07,1649314800
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.7,2.3,59.83,Low,2022-04-07,1649314800
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,1.7,2.3,50.11,Low,2022-04-07,1649314800
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.1,6.1,13.92,Low,2022-04-07,1649314800
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.1,6.1,39.41,Low,2022-04-07,1649314800
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.1,6.1,42.28,Low,2022-04-07,1649314800
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.0,3.4,31.84,Low,2022-04-07,1649314800
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.0,3.4,68.99,Low,2022-04-07,1649314800
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.0,3.4,97.91,Low,2022-04-07,1649314800
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,1.6,2.6,22.97,Low,2022-04-07,1649314800
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.6,2.2,80.75,Low,2022-04-07,1649314800
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,1.6,2.2,91.32,Low,2022-04-07,1649314800
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,2.2,1.7,24.83,Low,2022-04-07,1649314800
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,2.2,1.7,78.96,Low,2022-04-07,1649314800
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.7,4.1,9.81,Low,2022-04-07,1649314800
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.7,4.1,489.18,Medium,2022-04-07,1649314800
Tulare County,06107,California,466195,789,"Tulare, CA",466195,3.0,2.1,72.93,Low,2022-04-07,1649314800
